cropping_pattern,area,percentage,Year,Cover_vs_No_Cover
Soybean - None - Cotton,100907.86,1.62,2017,None
Soybean - None - Minor Crops,94472.65,1.51,2017,None
Cotton - None - Soybean,52014.53,0.83,2017,None
Corn - None - Cotton,46715.05,0.75,2017,None
Soybean - None - Soybean,1260120.76,20.24,2018,None
Soybean - None - Rice,713580.13,11.46,2018,None
Rice - None - Soybean,713127.58,11.46,2018,None
Soybean - None - Minor Crops,519792.14,8.35,2018,None
Soybean - None - Corn,407460.27,6.55,2018,None
Rice - None - Minor Crops,336610.9,5.41,2018,None
Corn - None - Soybean,289753.97,4.65,2018,None
Rice - None - Rice,248850.11,4,2018,None
Soybean - Cover Crops - Soybean,206901.26,3.32,2018,Cover Crops
Cotton - None - Cotton,183081.62,2.94,2018,None
Minor Crops - None - Minor Crops,154826.02,2.49,2018,None
Soybean - Cover Crops - Minor Crops,133065.23,2.14,2018,Cover Crops
Cotton - Cover Crops - Cotton,129944.7,2.09,2018,Cover Crops
Soybean - None - Cotton,86025.06,1.38,2018,None
Minor Crops - Cover Crops - Minor Crops,81453.45,1.31,2018,Cover Crops
Soybean - None - Soybean,1130841.22,17.95,2019,None
Soybean - None - Rice,730113.05,11.59,2019,None
Rice - None - Soybean,674896.81,10.71,2019,None
Minor Crops - None - Minor Crops,573220.61,9.1,2019,None
Corn - None - Soybean,355714.6,5.65,2019,None
Soybean - None - Corn,268172.87,4.26,2019,None
Minor Crops - None - Rice,250094.37,3.97,2019,None
Rice - None - Rice,248702.89,3.95,2019,None
Cotton - None - Cotton,233622.61,3.71,2019,None
Minor Crops - None - Soybean,221735.8,3.52,2019,None
Soybean - Cover Crops - Soybean,216030.91,3.43,2019,Cover Crops
Minor Crops - Cover Crops - Minor Crops,146618.61,2.33,2019,Cover Crops
Soybean - None - Minor Crops,132096.07,2.1,2019,None
Rice - None - Minor Crops,116988.21,1.86,2019,None
Cotton - Cover Crops - Cotton,100130.84,1.59,2019,Cover Crops
